event_time,order_id,product_id,category_id,category_code,brand,price,user_id
2020-04-30 14:26:45 UTC,2298787156837007884,2273948222344921468,2268105408679772166,computers.components.hdd,sumdex,1.16,1515915625449986580
2020-04-30 14:26:45 UTC,2298787156837007884,1515966223510235373,2268105408679772166,computers.components.hdd,portcase,1.16,1515915625449986580
2020-04-30 14:26:45 UTC,2298787156837007884,2273948222336532859,2268105408679772166,computers.components.hdd,portcase,1.16,1515915625449986580
2020-04-30 14:26:58 UTC,2298787266174124562,2273948312304353949,2268105428166508982,electronics.smartphone,huawei,138.63,1515915625452743110
2020-04-30 14:27:10 UTC,2298787365453300259,2273948242653741336,2268105393848713950,appliances.kitchen.refrigerators,atlant,240.72,1515915625452620048
2020-04-30 14:27:41 UTC,2298787628478104129,1515966223509104954,2268105443039511282,furniture.kitchen.table,rondell,104.14,1515915625452023206
2020-04-30 14:28:08 UTC,2298787856379806289,1515966223509089076,2268105428166508982,electronics.smartphone,samsung,161.78,1515915625446686430
2020-04-30 14:30:47 UTC,2298789187970663118,2273948248047616169,2268105406549066706,computers.peripherals.mouse,delux,5.07,1515915625452338961
2020-04-30 14:30:48 UTC,2298789192475345615,1515966223509090098,2268105420969083162,,jbl,115.72,1515915625442245708
2020-04-30 14:32:50 UTC,2298790217638740763,1515966223509118509,2268105390174503582,appliances.sewing_machine,jaguar,81.00,1515915625452688647
2020-04-30 14:34:49 UTC,2298791212645090158,2273948248047616169,2268105406549066706,computers.peripherals.mouse,delux,5.07,1515915625452338961
2020-04-30 14:36:03 UTC,2298791840591119265,1515966223509106168,2268105392070329020,appliances.environment.vacuum,samsung,69.42,1515915625452784493
2020-04-30 14:36:30 UTC,2298792065590363057,1515966223509261554,2268105439004590748,,,3.68,1515915625452784270
2020-04-30 14:42:40 UTC,2298795168259637458,1515966223509381434,2268105402673529732,,rowenta,20.81,1515915625441469493
2020-04-30 14:46:41 UTC,2298797190602031508,1515966223509088574,2268105402556089218,appliances.personal.hair_cutter,polaris,15.02,1515915625445425372
2020-04-30 14:52:59 UTC,2298800361353249468,1515966223509130553,2268105409845788704,computers.components.hdd,toshiba,40.72,1515915625444755504
2020-04-30 14:54:06 UTC,2298800920428806892,1515966223509089916,2268105402556089218,appliances.personal.hair_cutter,babyliss,30.07,1515915625451455545
